   12      6
    -26.86329360       -0.98719972      2.0000
    -20.52230740       -0.75417469      2.0000
    -16.44133006       -0.60420277      2.0000
    -14.85627894       -0.54595370      2.0000
    -14.58320728       -0.53591858      2.0000
    -13.21755938       -0.48573236      2.0000
     -8.23814685       -0.30274383      0.0000
      4.29688317        0.15790625      0.0000
      8.66657864        0.31848827      0.0000
     13.94521496        0.51247299      0.0000
     18.33835347        0.67391652      0.0000
     51.11204084        1.87831742      0.0000
